# 数据集：synthetic_takeaway_menu_v3
# 说明：用于推荐算法测试的420道模拟外卖数据：180道属于60个营养相似组，240道差异化菜品两两之间至少有一项核心营养差异超过10%。
# 菜品数量：420
菜品ID	平台	商家名称	菜品名称	分类	每份重量(g)	价格(元)	热量(kcal)	蛋白质(g)	脂肪(g)	碳水(g)	膳食纤维(g)	钠(mg)	添加糖(g)	营养近似组	价格档位	数据角色
sim-013	eleme	街坊实惠餐厅	香草鸡胸紫米饭（实惠版）	杂粮饭	462	22.6	590	25.9	14.2	86.9	9.1	790	5.1	similar-005	economy	similar_group
sim-014	jd	城市标准食堂	香草鸡胸紫米饭（标准版）	杂粮饭	462	31.4	578	26.4	13.8	86.0	9.4	760	5.0	similar-005	standard	similar_group
sim-015	meituan	精品健康餐厅	香草鸡胸紫米饭（精品版）	杂粮饭	462	59.7	566	27.2	13.4	84.3	9.9	707	4.5	similar-005	premium	similar_group
sim-016	jd	街坊实惠餐厅	香草鸡胸五谷饭（实惠版）	杂粮饭	480	24.1	617	26.5	14.9	94.9	10.2	837	6.1	similar-006	economy	similar_group
sim-017	meituan	城市标准食堂	香草鸡胸五谷饭（标准版）	杂粮饭	480	33.5	605	27.0	14.5	94.0	10.5	805	6.0	similar-006	standard	similar_group
sim-018	eleme	精品健康餐厅	香草鸡胸五谷饭（精品版）	杂粮饭	480	63.6	593	27.8	14.1	92.1	11.0	749	5.4	similar-006	premium	similar_group
sim-019	meituan	街坊实惠餐厅	黑椒牛肉糙米饭（实惠版）	杂粮饭	394	17.8	499	25.9	14.2	57.6	5.3	702	2.0	similar-007	economy	similar_group
sim-020	eleme	城市标准食堂	黑椒牛肉糙米饭（标准版）	杂粮饭	394	24.7	489	26.4	13.8	57.0	5.5	675	2.0	similar-007	standard	similar_group
sim-021	jd	精品健康餐厅	黑椒牛肉糙米饭（精品版）	杂粮饭	394	46.9	479	27.2	13.4	55.9	5.8	628	1.8	similar-007	premium	similar_group
sim-022	eleme	街坊实惠餐厅	黑椒牛肉藜麦饭（实惠版）	轻食饭	412	19.3	526	26.5	14.9	65.7	6.4	749	3.1	similar-008	economy	similar_group
sim-023	jd	城市标准食堂	黑椒牛肉藜麦饭（标准版）	轻食饭	412	26.8	516	27.0	14.5	65.0	6.6	720	3.0	similar-008	standard	similar_group
sim-024	meituan	精品健康餐厅	黑椒牛肉藜麦饭（精品版）	轻食饭	412	50.9	506	27.8	14.1	63.7	6.9	670	2.7	similar-008	premium	similar_group
sim-025	jd	街坊实惠餐厅	黑椒牛肉荞麦面（实惠版）	面食	430	20.8	554	27.0	15.7	73.7	7.5	796	4.1	similar-009	economy	similar_group
sim-026	meituan	城市标准食堂	黑椒牛肉荞麦面（标准版）	面食	430	28.9	543	27.6	15.2	73.0	7.7	765	4.0	similar-009	standard	similar_group
sim-027	eleme	精品健康餐厅	黑椒牛肉荞麦面（精品版）	面食	430	54.9	532	28.4	14.7	71.5	8.1	711	3.6	similar-009	premium	similar_group
sim-028	meituan	街坊实惠餐厅	黑椒牛肉全麦意面（实惠版）	意面	448	22.3	581	27.6	16.4	81.8	8.5	842	5.1	similar-010	economy	similar_group
sim-029	eleme	城市标准食堂	黑椒牛肉全麦意面（标准版）	意面	448	31.0	570	28.2	15.9	81.0	8.8	810	5.0	similar-010	standard	similar_group
sim-030	jd	精品健康餐厅	黑椒牛肉全麦意面（精品版）	意面	448	58.9	559	29.0	15.4	79.4	9.2	753	4.5	similar-010	premium	similar_group
sim-031	eleme	街坊实惠餐厅	黑椒牛肉紫米饭（实惠版）	杂粮饭	466	23.8	609	28.2	17.1	89.9	9.6	889	6.1	similar-011	economy	similar_group
sim-032	jd	城市标准食堂	黑椒牛肉紫米饭（标准版）	杂粮饭	466	33.1	597	28.8	16.6	89.0	9.9	855	6.0	similar-011	standard	similar_group
sim-033	meituan	精品健康餐厅	黑椒牛肉紫米饭（精品版）	杂粮饭	466	62.9	585	29.7	16.1	87.2	10.4	795	5.4	similar-011	premium	similar_group
sim-034	jd	街坊实惠餐厅	黑椒牛肉五谷饭（实惠版）	杂粮饭	484	25.3	636	28.8	17.8	98.0	10.7	936	1.0	similar-012	economy	similar_group
sim-035	meituan	城市标准食堂	黑椒牛肉五谷饭（标准版）	杂粮饭	484	35.2	624	29.4	17.3	97.0	11.0	900	1.0	similar-012	standard	similar_group
sim-036	eleme	精品健康餐厅	黑椒牛肉五谷饭（精品版）	杂粮饭	484	66.9	612	30.3	16.8	95.1	11.6	837	0.9	similar-012	premium	similar_group
sim-037	meituan	街坊实惠餐厅	蒜香虾仁糙米饭（实惠版）	杂粮饭	398	19.0	518	28.2	17.1	60.6	5.8	801	3.1	similar-013	economy	similar_group
sim-038	eleme	城市标准食堂	蒜香虾仁糙米饭（标准版）	杂粮饭	398	26.4	508	28.8	16.6	60.0	6.0	770	3.0	similar-013	standard	similar_group
sim-039	jd	精品健康餐厅	蒜香虾仁糙米饭（精品版）	杂粮饭	398	50.2	498	29.7	16.1	58.8	6.3	716	2.7	similar-013	premium	similar_group
sim-040	eleme	街坊实惠餐厅	蒜香虾仁藜麦饭（实惠版）	轻食饭	416	20.5	546	28.8	17.8	68.7	6.9	848	4.1	similar-014	economy	similar_group
sim-041	jd	城市标准食堂	蒜香虾仁藜麦饭（标准版）	轻食饭	416	28.5	535	29.4	17.3	68.0	7.1	815	4.0	similar-014	standard	similar_group
sim-042	meituan	精品健康餐厅	蒜香虾仁藜麦饭（精品版）	轻食饭	416	54.1	524	30.3	16.8	66.6	7.5	758	3.6	similar-014	premium	similar_group
sim-043	jd	街坊实惠餐厅	蒜香虾仁荞麦面（实惠版）	面食	434	22.0	573	29.4	18.5	76.8	8.0	894	5.1	similar-015	economy	similar_group
sim-044	meituan	城市标准食堂	蒜香虾仁荞麦面（标准版）	面食	434	30.6	562	30.0	18.0	76.0	8.2	860	5.0	similar-015	standard	similar_group
sim-045	eleme	精品健康餐厅	蒜香虾仁荞麦面（精品版）	面食	434	58.1	551	30.9	17.5	74.5	8.6	800	4.5	similar-015	premium	similar_group
sim-046	meituan	街坊实惠餐厅	蒜香虾仁全麦意面（实惠版）	意面	452	23.5	601	30.0	19.3	84.8	9.0	941	6.1	similar-016	economy	similar_group
sim-047	eleme	城市标准食堂	蒜香虾仁全麦意面（标准版）	意面	452	32.7	589	30.6	18.7	84.0	9.3	905	6.0	similar-016	standard	similar_group
sim-048	jd	精品健康餐厅	蒜香虾仁全麦意面（精品版）	意面	452	62.1	577	31.5	18.1	82.3	9.8	842	5.4	similar-016	premium	similar_group
sim-049	eleme	街坊实惠餐厅	蒜香虾仁紫米饭（实惠版）	杂粮饭	470	25.1	628	30.6	20.0	92.9	10.1	988	1.0	similar-017	economy	similar_group
sim-050	jd	城市标准食堂	蒜香虾仁紫米饭（标准版）	杂粮饭	470	34.8	616	31.2	19.4	92.0	10.4	950	1.0	similar-017	standard	similar_group
sim-051	meituan	精品健康餐厅	蒜香虾仁紫米饭（精品版）	杂粮饭	470	66.1	604	32.1	18.8	90.2	10.9	884	0.9	similar-017	premium	similar_group
sim-052	jd	街坊实惠餐厅	蒜香虾仁五谷饭（实惠版）	杂粮饭	488	26.6	656	31.2	20.7	101.0	11.2	1035	2.0	similar-018	economy	similar_group
sim-053	meituan	城市标准食堂	蒜香虾仁五谷饭（标准版）	杂粮饭	488	36.9	643	31.8	20.1	100.0	11.5	995	2.0	similar-018	standard	similar_group
sim-054	eleme	精品健康餐厅	蒜香虾仁五谷饭（精品版）	杂粮饭	488	70.1	630	32.8	19.5	98.0	12.1	925	1.8	similar-018	premium	similar_group
sim-055	meituan	街坊实惠餐厅	清蒸鱼柳糙米饭（实惠版）	杂粮饭	402	20.2	538	30.6	20.0	54.5	6.3	900	4.1	similar-019	economy	similar_group
sim-056	eleme	城市标准食堂	清蒸鱼柳糙米饭（标准版）	杂粮饭	402	28.1	527	31.2	19.4	54.0	6.5	865	4.0	similar-019	standard	similar_group
sim-057	jd	精品健康餐厅	清蒸鱼柳糙米饭（精品版）	杂粮饭	402	53.4	516	32.1	18.8	52.9	6.8	804	3.6	similar-019	premium	similar_group
sim-058	eleme	街坊实惠餐厅	清蒸鱼柳藜麦饭（实惠版）	轻食饭	420	21.7	565	31.2	20.7	62.6	7.4	946	5.1	similar-020	economy	similar_group
sim-059	jd	城市标准食堂	清蒸鱼柳藜麦饭（标准版）	轻食饭	420	30.2	554	31.8	20.1	62.0	7.6	910	5.0	similar-020	standard	similar_group
sim-060	meituan	精品健康餐厅	清蒸鱼柳藜麦饭（精品版）	轻食饭	420	57.4	543	32.8	19.5	60.8	8.0	846	4.5	similar-020	premium	similar_group
sim-061	jd	街坊实惠餐厅	清蒸鱼柳荞麦面（实惠版）	面食	438	23.3	593	31.8	21.4	70.7	8.4	993	6.1	similar-021	economy	similar_group
sim-062	meituan	城市标准食堂	清蒸鱼柳荞麦面（标准版）	面食	438	32.3	581	32.4	20.8	70.0	8.7	955	6.0	similar-021	standard	similar_group
sim-063	eleme	精品健康餐厅	清蒸鱼柳荞麦面（精品版）	面食	438	61.4	569	33.4	20.2	68.6	9.1	888	5.4	similar-021	premium	similar_group
sim-064	meituan	街坊实惠餐厅	清蒸鱼柳全麦意面（实惠版）	意面	456	24.8	620	32.3	22.1	78.8	9.5	1040	1.0	similar-022	economy	similar_group
sim-065	eleme	城市标准食堂	清蒸鱼柳全麦意面（标准版）	意面	456	34.4	608	33.0	21.5	78.0	9.8	1000	1.0	similar-022	standard	similar_group
sim-066	jd	精品健康餐厅	清蒸鱼柳全麦意面（精品版）	意面	456	65.4	596	34.0	20.9	76.4	10.3	930	0.9	similar-022	premium	similar_group
sim-067	eleme	街坊实惠餐厅	清蒸鱼柳紫米饭（实惠版）	杂粮饭	474	26.3	648	32.9	22.9	86.9	10.6	1087	2.0	similar-023	economy	similar_group
sim-068	jd	城市标准食堂	清蒸鱼柳紫米饭（标准版）	杂粮饭	474	36.5	635	33.6	22.2	86.0	10.9	1045	2.0	similar-023	standard	similar_group
sim-069	meituan	精品健康餐厅	清蒸鱼柳紫米饭（精品版）	杂粮饭	474	69.3	622	34.6	21.5	84.3	11.4	972	1.8	similar-023	premium	similar_group
sim-070	jd	街坊实惠餐厅	清蒸鱼柳五谷饭（实惠版）	杂粮饭	492	27.8	675	33.5	23.6	94.9	11.6	1134	3.1	similar-024	economy	similar_group
sim-071	meituan	城市标准食堂	清蒸鱼柳五谷饭（标准版）	杂粮饭	492	38.6	662	34.2	22.9	94.0	12.0	1090	3.0	similar-024	standard	similar_group
sim-072	eleme	精品健康餐厅	清蒸鱼柳五谷饭（精品版）	杂粮饭	492	73.3	649	35.2	22.2	92.1	12.6	1014	2.7	similar-024	premium	similar_group
sim-073	meituan	街坊实惠餐厅	菌菇豆腐糙米饭（实惠版）	杂粮饭	406	21.5	557	32.9	22.9	57.6	4.8	998	5.1	similar-025	economy	similar_group
sim-074	eleme	城市标准食堂	菌菇豆腐糙米饭（标准版）	杂粮饭	406	29.8	546	33.6	22.2	57.0	5.0	960	5.0	similar-025	standard	similar_group
sim-075	jd	精品健康餐厅	菌菇豆腐糙米饭（精品版）	杂粮饭	406	56.6	535	34.6	21.5	55.9	5.2	893	4.5	similar-025	premium	similar_group
sim-076	eleme	街坊实惠餐厅	菌菇豆腐藜麦饭（实惠版）	轻食饭	424	23.0	584	33.5	23.6	65.7	5.9	1045	6.1	similar-026	economy	similar_group
sim-077	jd	城市标准食堂	菌菇豆腐藜麦饭（标准版）	轻食饭	424	31.9	573	34.2	22.9	65.0	6.1	1005	6.0	similar-026	standard	similar_group
sim-078	meituan	精品健康餐厅	菌菇豆腐藜麦饭（精品版）	轻食饭	424	60.6	562	35.2	22.2	63.7	6.4	935	5.4	similar-026	premium	similar_group
sim-079	jd	街坊实惠餐厅	菌菇豆腐荞麦面（实惠版）	面食	442	24.5	612	34.1	24.3	73.7	7.0	1092	1.0	similar-027	economy	similar_group
sim-080	meituan	城市标准食堂	菌菇豆腐荞麦面（标准版）	面食	442	34.0	600	34.8	23.6	73.0	7.2	1050	1.0	similar-027	standard	similar_group
sim-081	eleme	精品健康餐厅	菌菇豆腐荞麦面（精品版）	面食	442	64.6	588	35.8	22.9	71.5	7.6	976	0.9	similar-027	premium	similar_group
sim-082	meituan	街坊实惠餐厅	菌菇豆腐全麦意面（实惠版）	意面	460	26.0	640	34.7	25.0	81.8	8.1	1139	2.0	similar-028	economy	similar_group
sim-083	eleme	城市标准食堂	菌菇豆腐全麦意面（标准版）	意面	460	36.1	627	35.4	24.3	81.0	8.3	1095	2.0	similar-028	standard	similar_group
sim-084	jd	精品健康餐厅	菌菇豆腐全麦意面（精品版）	意面	460	68.6	614	36.5	23.6	79.4	8.7	1018	1.8	similar-028	premium	similar_group
sim-085	eleme	街坊实惠餐厅	菌菇豆腐紫米饭（实惠版）	杂粮饭	478	27.5	667	35.3	25.8	89.9	9.1	1186	3.1	similar-029	economy	similar_group
sim-086	jd	城市标准食堂	菌菇豆腐紫米饭（标准版）	杂粮饭	478	38.2	654	36.0	25.0	89.0	9.4	1140	3.0	similar-029	standard	similar_group
sim-087	meituan	精品健康餐厅	菌菇豆腐紫米饭（精品版）	杂粮饭	478	72.6	641	37.1	24.2	87.2	9.9	1060	2.7	similar-029	premium	similar_group
sim-088	jd	街坊实惠餐厅	菌菇豆腐五谷饭（实惠版）	杂粮饭	496	29.0	695	35.9	26.5	98.0	10.2	1232	4.1	similar-030	economy	similar_group
sim-089	meituan	城市标准食堂	菌菇豆腐五谷饭（标准版）	杂粮饭	496	40.3	681	36.6	25.7	97.0	10.5	1185	4.0	similar-030	standard	similar_group
sim-090	eleme	精品健康餐厅	菌菇豆腐五谷饭（精品版）	杂粮饭	496	76.6	667	37.7	24.9	95.1	11.0	1102	3.6	similar-030	premium	similar_group
sim-091	meituan	街坊实惠餐厅	番茄鸡蛋糙米饭（实惠版）	杂粮饭	410	22.7	576	35.3	11.3	60.6	5.3	1097	6.1	similar-031	economy	similar_group
sim-092	eleme	城市标准食堂	番茄鸡蛋糙米饭（标准版）	杂粮饭	410	31.5	565	36.0	11.0	60.0	5.5	1055	6.0	similar-031	standard	similar_group
sim-093	jd	精品健康餐厅	番茄鸡蛋糙米饭（精品版）	杂粮饭	410	59.8	554	37.1	10.7	58.8	5.8	981	5.4	similar-031	premium	similar_group
sim-094	eleme	街坊实惠餐厅	番茄鸡蛋藜麦饭（实惠版）	轻食饭	428	24.2	604	35.9	12.1	68.7	6.4	1144	1.0	similar-032	economy	similar_group
sim-095	jd	城市标准食堂	番茄鸡蛋藜麦饭（标准版）	轻食饭	428	33.6	592	36.6	11.7	68.0	6.6	1100	1.0	similar-032	standard	similar_group
sim-096	meituan	精品健康餐厅	番茄鸡蛋藜麦饭（精品版）	轻食饭	428	63.8	580	37.7	11.3	66.6	6.9	1023	0.9	similar-032	premium	similar_group
sim-097	jd	街坊实惠餐厅	番茄鸡蛋荞麦面（实惠版）	面食	446	25.7	631	36.5	12.8	76.8	7.5	1191	2.0	similar-033	economy	similar_group
sim-098	meituan	城市标准食堂	番茄鸡蛋荞麦面（标准版）	面食	446	35.7	619	37.2	12.4	76.0	7.7	1145	2.0	similar-033	standard	similar_group
sim-099	eleme	精品健康餐厅	番茄鸡蛋荞麦面（精品版）	面食	446	67.8	607	38.3	12.0	74.5	8.1	1065	1.8	similar-033	premium	similar_group
sim-100	meituan	街坊实惠餐厅	番茄鸡蛋全麦意面（实惠版）	意面	464	27.2	659	37.0	13.5	84.8	8.5	1238	3.1	similar-034	economy	similar_group
sim-101	eleme	城市标准食堂	番茄鸡蛋全麦意面（标准版）	意面	464	37.8	646	37.8	13.1	84.0	8.8	1190	3.0	similar-034	standard	similar_group
sim-102	jd	精品健康餐厅	番茄鸡蛋全麦意面（精品版）	意面	464	71.8	633	38.9	12.7	82.3	9.2	1107	2.7	similar-034	premium	similar_group
sim-103	eleme	街坊实惠餐厅	番茄鸡蛋紫米饭（实惠版）	杂粮饭	482	28.7	686	37.6	14.2	92.9	9.6	1284	4.1	similar-035	economy	similar_group
sim-104	jd	城市标准食堂	番茄鸡蛋紫米饭（标准版）	杂粮饭	482	39.9	673	38.4	13.8	92.0	9.9	1235	4.0	similar-035	standard	similar_group
sim-105	meituan	精品健康餐厅	番茄鸡蛋紫米饭（精品版）	杂粮饭	482	75.8	660	39.6	13.4	90.2	10.4	1149	3.6	similar-035	premium	similar_group
sim-106	jd	街坊实惠餐厅	番茄鸡蛋五谷饭（实惠版）	杂粮饭	500	30.2	714	38.2	14.9	101.0	10.7	1331	5.1	similar-036	economy	similar_group
sim-107	meituan	城市标准食堂	番茄鸡蛋五谷饭（标准版）	杂粮饭	500	42.0	700	39.0	14.5	100.0	11.0	1280	5.0	similar-036	standard	similar_group
sim-108	eleme	精品健康餐厅	番茄鸡蛋五谷饭（精品版）	杂粮饭	500	79.8	686	40.2	14.1	98.0	11.6	1190	4.5	similar-036	premium	similar_group
sim-109	meituan	街坊实惠餐厅	金枪鱼玉米糙米饭（实惠版）	杂粮饭	414	23.9	596	37.6	14.2	54.5	5.8	603	1.0	similar-037	economy	similar_group
sim-110	eleme	城市标准食堂	金枪鱼玉米糙米饭（标准版）	杂粮饭	414	33.2	584	38.4	13.8	54.0	6.0	580	1.0	similar-037	standard	similar_group
sim-111	jd	精品健康餐厅	金枪鱼玉米糙米饭（精品版）	杂粮饭	414	63.1	572	39.6	13.4	52.9	6.3	539	0.9	similar-037	premium	similar_group
sim-112	eleme	街坊实惠餐厅	金枪鱼玉米藜麦饭（实惠版）	轻食饭	432	25.4	623	38.2	14.9	62.6	6.9	650	2.0	similar-038	economy	similar_group
sim-113	jd	城市标准食堂	金枪鱼玉米藜麦饭（标准版）	轻食饭	432	35.3	611	39.0	14.5	62.0	7.1	625	2.0	similar-038	standard	similar_group
sim-114	meituan	精品健康餐厅	金枪鱼玉米藜麦饭（精品版）	轻食饭	432	67.1	599	40.2	14.1	60.8	7.5	581	1.8	similar-038	premium	similar_group
sim-115	jd	街坊实惠餐厅	金枪鱼玉米荞麦面（实惠版）	面食	450	26.9	651	38.8	15.7	70.7	8.0	697	3.1	similar-039	economy	similar_group
sim-116	meituan	城市标准食堂	金枪鱼玉米荞麦面（标准版）	面食	450	37.4	638	39.6	15.2	70.0	8.2	670	3.0	similar-039	standard	similar_group
sim-117	eleme	精品健康餐厅	金枪鱼玉米荞麦面（精品版）	面食	450	71.1	625	40.8	14.7	68.6	8.6	623	2.7	similar-039	premium	similar_group
sim-118	meituan	街坊实惠餐厅	金枪鱼玉米全麦意面（实惠版）	意面	468	28.4	678	39.4	16.4	78.8	9.0	744	4.1	similar-040	economy	similar_group
sim-119	eleme	城市标准食堂	金枪鱼玉米全麦意面（标准版）	意面	468	39.5	665	40.2	15.9	78.0	9.3	715	4.0	similar-040	standard	similar_group
sim-120	jd	精品健康餐厅	金枪鱼玉米全麦意面（精品版）	意面	468	75.0	652	41.4	15.4	76.4	9.8	665	3.6	similar-040	premium	similar_group
sim-121	eleme	街坊实惠餐厅	金枪鱼玉米紫米饭（实惠版）	杂粮饭	486	30.0	706	40.0	17.1	86.9	10.1	790	5.1	similar-041	economy	similar_group
sim-122	jd	城市标准食堂	金枪鱼玉米紫米饭（标准版）	杂粮饭	486	41.6	692	40.8	16.6	86.0	10.4	760	5.0	similar-041	standard	similar_group
sim-123	meituan	精品健康餐厅	金枪鱼玉米紫米饭（精品版）	杂粮饭	486	79.0	678	42.0	16.1	84.3	10.9	707	4.5	similar-041	premium	similar_group
sim-124	jd	街坊实惠餐厅	金枪鱼玉米五谷饭（实惠版）	杂粮饭	504	31.5	733	40.6	17.8	94.9	11.2	837	6.1	similar-042	economy	similar_group
sim-125	meituan	城市标准食堂	金枪鱼玉米五谷饭（标准版）	杂粮饭	504	43.7	719	41.4	17.3	94.0	11.5	805	6.0	similar-042	standard	similar_group
sim-126	eleme	精品健康餐厅	金枪鱼玉米五谷饭（精品版）	杂粮饭	504	83.0	705	42.6	16.8	92.1	12.1	749	5.4	similar-042	premium	similar_group
sim-127	meituan	街坊实惠餐厅	香煎三文鱼糙米饭（实惠版）	杂粮饭	418	25.1	615	40.0	17.1	57.6	6.3	702	2.0	similar-043	economy	similar_group
sim-128	eleme	城市标准食堂	香煎三文鱼糙米饭（标准版）	杂粮饭	418	34.9	603	40.8	16.6	57.0	6.5	675	2.0	similar-043	standard	similar_group
sim-129	jd	精品健康餐厅	香煎三文鱼糙米饭（精品版）	杂粮饭	418	66.3	591	42.0	16.1	55.9	6.8	628	1.8	similar-043	premium	similar_group
sim-130	eleme	街坊实惠餐厅	香煎三文鱼藜麦饭（实惠版）	轻食饭	436	26.6	643	40.6	17.8	65.7	7.4	749	3.1	similar-044	economy	similar_group
sim-131	jd	城市标准食堂	香煎三文鱼藜麦饭（标准版）	轻食饭	436	37.0	630	41.4	17.3	65.0	7.6	720	3.0	similar-044	standard	similar_group
sim-132	meituan	精品健康餐厅	香煎三文鱼藜麦饭（精品版）	轻食饭	436	70.3	617	42.6	16.8	63.7	8.0	670	2.7	similar-044	premium	similar_group
sim-133	jd	街坊实惠餐厅	香煎三文鱼荞麦面（实惠版）	面食	454	28.2	670	41.2	18.5	73.7	8.4	796	4.1	similar-045	economy	similar_group
sim-134	meituan	城市标准食堂	香煎三文鱼荞麦面（标准版）	面食	454	39.1	657	42.0	18.0	73.0	8.7	765	4.0	similar-045	standard	similar_group
sim-135	eleme	精品健康餐厅	香煎三文鱼荞麦面（精品版）	面食	454	74.3	644	43.3	17.5	71.5	9.1	711	3.6	similar-045	premium	similar_group
sim-136	meituan	街坊实惠餐厅	香煎三文鱼全麦意面（实惠版）	意面	472	29.7	698	41.7	19.3	81.8	9.5	842	5.1	similar-046	economy	similar_group
sim-137	eleme	城市标准食堂	香煎三文鱼全麦意面（标准版）	意面	472	41.2	684	42.6	18.7	81.0	9.8	810	5.0	similar-046	standard	similar_group
sim-138	jd	精品健康餐厅	香煎三文鱼全麦意面（精品版）	意面	472	78.3	670	43.9	18.1	79.4	10.3	753	4.5	similar-046	premium	similar_group
sim-139	eleme	街坊实惠餐厅	香煎三文鱼紫米饭（实惠版）	杂粮饭	490	31.2	725	42.3	20.0	89.9	10.6	889	6.1	similar-047	economy	similar_group
sim-140	jd	城市标准食堂	香煎三文鱼紫米饭（标准版）	杂粮饭	490	43.3	711	43.2	19.4	89.0	10.9	855	6.0	similar-047	standard	similar_group
sim-141	meituan	精品健康餐厅	香煎三文鱼紫米饭（精品版）	杂粮饭	490	82.3	697	44.5	18.8	87.2	11.4	795	5.4	similar-047	premium	similar_group
sim-142	jd	街坊实惠餐厅	香煎三文鱼五谷饭（实惠版）	杂粮饭	508	32.7	753	42.9	20.7	98.0	11.6	936	1.0	similar-048	economy	similar_group
sim-143	meituan	城市标准食堂	香煎三文鱼五谷饭（标准版）	杂粮饭	508	45.4	738	43.8	20.1	97.0	12.0	900	1.0	similar-048	standard	similar_group
sim-144	eleme	精品健康餐厅	香煎三文鱼五谷饭（精品版）	杂粮饭	508	86.3	723	45.1	19.5	95.1	12.6	837	0.9	similar-048	premium	similar_group
sim-145	meituan	街坊实惠餐厅	照烧鸡腿糙米饭（实惠版）	杂粮饭	422	26.4	634	42.3	20.0	60.6	4.8	801	3.1	similar-049	economy	similar_group
sim-146	eleme	城市标准食堂	照烧鸡腿糙米饭（标准版）	杂粮饭	422	36.6	622	43.2	19.4	60.0	5.0	770	3.0	similar-049	standard	similar_group
sim-147	jd	精品健康餐厅	照烧鸡腿糙米饭（精品版）	杂粮饭	422	69.5	610	44.5	18.8	58.8	5.2	716	2.7	similar-049	premium	similar_group
sim-148	eleme	街坊实惠餐厅	照烧鸡腿藜麦饭（实惠版）	轻食饭	440	27.9	662	42.9	20.7	68.7	5.9	848	4.1	similar-050	economy	similar_group
sim-149	jd	城市标准食堂	照烧鸡腿藜麦饭（标准版）	轻食饭	440	38.7	649	43.8	20.1	68.0	6.1	815	4.0	similar-050	standard	similar_group
sim-150	meituan	精品健康餐厅	照烧鸡腿藜麦饭（精品版）	轻食饭	440	73.5	636	45.1	19.5	66.6	6.4	758	3.6	similar-050	premium	similar_group
sim-151	jd	街坊实惠餐厅	照烧鸡腿荞麦面（实惠版）	面食	458	29.4	690	43.5	21.4	76.8	7.0	894	5.1	similar-051	economy	similar_group
sim-152	meituan	城市标准食堂	照烧鸡腿荞麦面（标准版）	面食	458	40.8	676	44.4	20.8	76.0	7.2	860	5.0	similar-051	standard	similar_group
sim-153	eleme	精品健康餐厅	照烧鸡腿荞麦面（精品版）	面食	458	77.5	662	45.7	20.2	74.5	7.6	800	4.5	similar-051	premium	similar_group
sim-154	meituan	街坊实惠餐厅	照烧鸡腿全麦意面（实惠版）	意面	476	30.9	717	44.1	22.1	84.8	8.1	941	6.1	similar-052	economy	similar_group
sim-155	eleme	城市标准食堂	照烧鸡腿全麦意面（标准版）	意面	476	42.9	703	45.0	21.5	84.0	8.3	905	6.0	similar-052	standard	similar_group
sim-156	jd	精品健康餐厅	照烧鸡腿全麦意面（精品版）	意面	476	81.5	689	46.4	20.9	82.3	8.7	842	5.4	similar-052	premium	similar_group
sim-157	eleme	街坊实惠餐厅	照烧鸡腿紫米饭（实惠版）	杂粮饭	494	32.4	745	44.7	22.9	92.9	9.1	988	1.0	similar-053	economy	similar_group
